LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.491, Time: 6.249459 s
         1423215 function calls (1408898 primitive calls) in 7.553 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:485(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:495(_get_xdg_cache_dir)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        2    0.000    0.000    0.001    0.000 __init__.py:504(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:536(get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:550(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:555(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:566(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:572(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:581(maxdict)
        4    0.000    0.000    0.000    0.000 __init__.py:593(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:602(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:61(ProjectionRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:629(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:64(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
       32    0.000    0.000    0.000    0.000 __init__.py:651(__init__)
     1281    0.001    0.000    0.001    0.000 __init__.py:654(_set)
        1    0.000    0.000    0.000    0.000 __init__.py:67(register)
      778    0.000    0.000    0.001    0.000 __init__.py:674(_get)
      969    0.002    0.000    0.029    0.000 __init__.py:695(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:702(BufferingFormatter)
      465    0.001    0.000    0.001    0.000 __init__.py:725(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:744(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:748(_get_backend_or_none)
        1    0.000    0.000    0.000    0.000 __init__.py:75(UnidentifiedImageError)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
      314    0.000    0.000    0.000    0.000 __init__.py:765(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:77(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:781(Filterer)
       29    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:789(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:791(Grouper)
        1    0.000    0.000    0.000    0.000 __init__.py:8(_SubplotBaseMeta)
       33    0.000    0.000    0.000    0.000 __init__.py:80(<genexpr>)
       60    0.000    0.000    0.003    0.000 __init__.py:813(_open_file_or_url)
        4    0.000    0.000    0.000    0.000 __init__.py:825(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:826(<dictcomp>)
     1866    0.000    0.000    0.000    0.000 __init__.py:831(<lambda>)
       30    0.007    0.000    0.047    0.002 __init__.py:831(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:863(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:887(GrouperView)
      343    0.001    0.000    0.002    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:893(_GrouperMethodForwarder)
        7    0.000    0.000    0.000    0.000 __init__.py:894(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:897(__set_name__)
        1    0.000    0.000    0.000    0.000 __init__.py:902(createLock)
      788    0.000    0.000    0.001    0.000 __init__.py:950(<lambda>)
       88    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
